Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Drug_condition_and_replicate,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SAMPLE_TYPE,SRA Study,STRAIN,Subsample,Time_point_(passage)
SRR10553805,WCS,59,30907917,PRJNA592371,SAMN13423686,"Microbe\, viral or environmental",6817798,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Low CMP r3,SRX7236141,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-40_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-40_subsample-4,Culture,SRP233631,K-12 MG1655,4,40
SRR10553806,WCS,59,31571549,PRJNA592371,SAMN13423685,"Microbe\, viral or environmental",6936184,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Low CMP r3,SRX7236140,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-40_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-40_subsample-3,Culture,SRP233631,K-12 MG1655,3,40
SRR10553807,WCS,59,31706069,PRJNA592371,SAMN13423684,"Microbe\, viral or environmental",6284989,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Low CMP r3,SRX7236139,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-40_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-40_subsample-2,Culture,SRP233631,K-12 MG1655,2,40
SRR10553808,WCS,59,32328401,PRJNA592371,SAMN13423683,"Microbe\, viral or environmental",6610409,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Low CMP r3,SRX7236138,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-40_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-40_subsample-1,Culture,SRP233631,K-12 MG1655,1,40
SRR10553809,WCS,59,42410852,PRJNA592371,SAMN13423682,"Microbe\, viral or environmental",5214240,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Low CMP r3,SRX7236137,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-38_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-38_subsample-4,Culture,SRP233631,K-12 MG1655,4,38
SRR10553810,WCS,59,43076844,PRJNA592371,SAMN13423681,"Microbe\, viral or environmental",5390154,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Low CMP r3,SRX7236136,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-38_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-38_subsample-3,Culture,SRP233631,K-12 MG1655,3,38
SRR10553811,WCS,59,42441178,PRJNA592371,SAMN13423680,"Microbe\, viral or environmental",4491635,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Low CMP r3,SRX7236135,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-38_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-38_subsample-2,Culture,SRP233631,K-12 MG1655,2,38
SRR10553812,WCS,59,43125106,PRJNA592371,SAMN13423679,"Microbe\, viral or environmental",4804818,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Low CMP r3,SRX7236134,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-38_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-38_subsample-1,Culture,SRP233631,K-12 MG1655,1,38
SRR10553813,WCS,59,44495794,PRJNA592371,SAMN13423678,"Microbe\, viral or environmental",12025473,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Low CMP r3,SRX7236133,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-30_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-30_subsample-4,Culture,SRP233631,K-12 MG1655,4,30
SRR10553814,WCS,59,45060424,PRJNA592371,SAMN13423677,"Microbe\, viral or environmental",12195690,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Low CMP r3,SRX7236132,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-30_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-30_subsample-3,Culture,SRP233631,K-12 MG1655,3,30
